Key,Value
Amulet,1
And,1
Crystal,1
Each,1
Enchantia,1
Enchantia,1
Enchantia,1
Enchantia,1
Enchantia,1
Forest,1
From,1
Guided,1
In,1
Map,1
Meadowbrook,1
Meadowbrook,1
Meadowbrook,1
One,1
Orion,1
Silver,1
Throughout,1
Together,1
Using,1
Whispering,1
Whispers,1
a,1
a,1
a,1
a,1
a,1
a,1
a,1
a,1
a,1
a,1
a,1
a,1
a,1
a,1
a,1
a,1
a,1
ageold,1
alliances,1
an,1
an,1
an,1
and,1
and,1
and,1
and,1
and,1
and,1
and,1
and,1
and,1
and,1
and,1
and,1
and,1
artifact,1
became,1
before,1
bid,1
book,1
book,1
book,1
books,1
braved,1
breaking,1
breathtaking,1
burst,1
chamber,1
closed,1
coexisted,1
combined,1
could,1
cunning,1
darkness,1
darkness,1
discovered,1
doors,1
dreams,1
dusty,1
embarked,1
enchanted,1
erupted,1
etched,1
every,1
exploring,1
faced,1
fantastical,1
farewell,1
for,1
forward,1
found,1
friends,1
gentle,1
girl,1
had,1
had,1
held,1
held,1
herself,1
in,1
in,1
in,1
in,1
in,1
in,1
in,1
in,1
incantation,1
journey,1
kaleidoscope,1
known,1
land,1
land,1
lavender,1
leatherbound,1
lifted,1
light,1
light,1
love,1
magic,1
magical,1
magical,1
magnificent,1
memories,1
mythical,1
name,1
newfound,1
of,1
of,1
of,1
of,1
of,1
of,1
of,1
of,1
of,1
of,1
of,1
of,1
onceshadowed,1
outsmarted,1
owl,1
painted,1
power,1
quest,1
radiant,1
reached,1
realm,1
resides,1
revealing,1
shared,1
she,1
she,1
she,1
she,1
she,1
so,1
soon,1
sorcerers,1
stood,1
stumbled,1
such,1
that,1
that,1
that,1
that,1
that,1
that,1
that,1
them,1
they,1
to,1
to,1
to,1
to,1
to,1
to,1
to,1
to,1
to,1
took,1
village,1
village,1
while,1
whisper,1
wise,1
within,1
