Key,Value
Amulet,1
As,1
As,1
As,1
Enchantia,1
Enchantia,1
Enchantia,1
Enchantia,1
Enchantia,1
In,1
Map,1
Meadowbrook,1
Meadowbrook,1
Meadowbrook,1
Orion,1
Quill,1
Silver,1
Whispering,1
Whispers,1
animals,1
artifacts,1
artifacts,1
before,1
books,1
braved,1
breaking,1
breathtaking,1
bring,1
burst,1
celebrated,1
coexisted,1
corners,1
could,1
curse,1
curse,1
day,1
day,1
doors,1
enchanted,1
etched,1
exploring,1
fantastical,1
farewell,1
filled,1
find,1
forged,1
found,1
gentle,1
grand,1
held,1
held,1
journey,1
key,1
lavender,1
lies,1
lifted,1
lived,1
lived,1
love,1
mysterious,1
newfound,1
of,1
of,1
of,1
of,1
of,1
of,1
of,1
of,1
of,1
of,1
of,1
of,1
onceshadowed,1
opened,1
outsmarted,1
owl,1
quaint,1
quest,1
radiant,1
resides,1
restore,1
seemed,1
she,1
she,1
she,1
she,1
she,1
so,1
sorcerers,1
talking,1
them,1
they,1
three,1
took,1
transporting,1
treacherous,1
trio,1
unlocked,1
when,1
where,1
while,1
