Key,Value
Crystal,1
Each,1
Enchantia,1
Enchantia,1
Enchantia,1
Enchantia,1
Enchantia,1
Guided,1
In,1
Map,1
Nimbus,1
Once,1
Quill,1
Silver,1
Sparkle,1
Throughout,1
Whispering,1
With,1
a,1
a,1
a,1
a,1
a,1
a,1
a,1
a,1
a,1
a,1
a,1
a,1
a,1
a,1
a,1
a,1
a,1
ability,1
ageold,1
alliances,1
ancient,1
ancient,1
and,1
and,1
and,1
and,1
and,1
and,1
and,1
and,1
and,1
and,1
and,1
and,1
and,1
artifacts,1
artifacts,1
as,1
as,1
back,1
became,1
believe,1
bid,1
books,1
breaking,1
burst,1
by,1
celebrated,1
closed,1
colors,1
could,1
courage,1
creatures,1
creatures,1
creatures,1
crystal,1
curious,1
curse,1
curse,1
darkness,1
darkness,1
discovered,1
dusty,1
enveloped,1
erupted,1
etched,1
every,1
exploring,1
faced,1
flight,1
for,1
forged,1
found,1
friends,1
giant,1
gratitude,1
heart,1
heart,1
heart,1
herself,1
in,1
in,1
in,1
in,1
in,1
in,1
in,1
in,1
insatiable,1
inspiring,1
its,1
known,1
life,1
lifted,1
lost,1
love,1
magic,1
magical,1
magical,1
magnificent,1
memories,1
mischievous,1
mysterious,1
mythical,1
of,1
of,1
of,1
of,1
of,1
of,1
of,1
of,1
of,1
of,1
of,1
of,1
old,1
on,1
on,1
opened,1
painted,1
palace,1
palace,1
pixie,1
power,1
puzzles,1
quest,1
radiant,1
realm,1
resides,1
revealing,1
seemed,1
sky,1
story,1
storytelling,1
that,1
that,1
that,1
that,1
that,1
that,1
that,1
the,1
the,1
the,1
the,1
the,1
the,1
the,1
the,1
the,1
the,1
the,1
the,1
the,1
the,1
the,1
the,1
the,1
the,1
the,1
the,1
the,1
the,1
the,1
the,1
the,1
the,1
the,1
them,1
they,1
time,1
transporting,1
treacherous,1
unlocked,1
upon,1
upon,1
villagers,1
was,1
when,1
where,1
while,1
wise,1
with,1
with,1
with,1
with,1
young,1
